idx_a,idx_b,dist_um,syn_ab,syn_ba,syn_total,root_id_a,root_id_b
1314,1408,11.318414023174872,0,0,0,864691136725343485,864691135941708033
160,189,11.331485339530794,0,0,0,864691135429763120,864691135885140848
882,1130,11.339702994346908,0,0,0,864691135989149187,864691135388545921
719,720,11.345503426468095,0,0,0,864691135774307659,864691136211325884
2043,2294,11.345977260685862,0,0,0,864691136058745048,864691135357351375
533,750,11.348692964390239,0,0,0,864691135763491126,864691136136838027
1902,2257,11.355472337159739,0,0,0,864691136145574196,864691135562975969
1120,2020,11.365297356426783,0,0,0,864691135324623260,864691136139027581
948,984,11.36556764970412,0,0,0,864691135694421439,864691135360300632
692,928,11.371126945030575,0,0,0,864691135920381616,864691136195537366
1812,2102,11.376554135589537,0,0,0,864691135646775791,864691136914414321
1178,1429,11.386616705589065,0,0,0,864691135527713115,864691135566649431
330,1551,11.387664905501923,0,0,0,864691135455977578,864691135503782210
1222,1439,11.404756902275501,0,0,0,864691136022090744,864691136665051614
774,1274,11.424697457701047,0,0,0,864691135685980087,864691135592276491
534,1308,11.428282110623641,0,0,0,864691136275807757,864691135947876644
1110,2298,11.43301605001937,0,0,0,864691135760319822,864691135165079085
